Rank,Name,Year,Genre,Publisher,Global_Sales
84,The Sims 3,2009,Simulation,Electronic Arts,8109999
138,World of Warcraft,2004,Role-Playing,Activision,6280000
182,Diablo III,2012,Role-Playing,Activision,5200000
195,Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,5120000
218,StarCraft II: Wings of Liberty,2010,Strategy,Activision,4830000
268,Warcraft II: Tides of Darkness,1995,Strategy,Activision,4210000
282,Half-Life,1997,Shooter,Vivendi Games,4120000
289,World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,4090000
311,The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,3880000
329,The Sims: Unleashed,2002,Simulation,Electronic Arts,3760000
354,Doom II: Hell on Earth,1994,Shooter,Virgin Interactive,3610000
457,The Sims: Vacation,2002,Simulation,Electronic Arts,3070000
474,The Sims: Livin Large,2000,Misc,Electronic Arts,2990000
479,The Sims 4,2014,Simulation,Electronic Arts,2970000
480,Star Wars: The Old Republic,2011,Role-Playing,Electronic Arts,2970000
512,Command & Conquer: Red Alert,1996,Strategy,Virgin Interactive,2850000
522,Myst,1994,Adventure,Red Orb,2810000
534,Battlefield 3,2011,Shooter,Electronic Arts,2790000
636,Riven: The Sequel to Myst,1997,Adventure,Red Orb,2430000
649,Theme Hospital,1997,Strategy,Electronic Arts,2400000
655,Monopoly,1994,Misc,Hasbro Interactive,2390000
667,Half-Life 2,2004,Shooter,Vivendi Games,2370000
693,Guild Wars 2,2012,Action,NCSoft,2300000
696,Tomb Raider II,1997,Action,Eidos Interactive,2290000
757,The Sims: House Party,2001,Simulation,Electronic Arts,2160000
767,SimCity 2000,1992,Simulation,Maxis,2140000
801,World of Warcraft: Cataclysm,2010,Role-Playing,Activision,2080000
807,Sim Theme Park,1998,Strategy,Electronic Arts,2080000
808,Warcraft: Orcs & Humans,1994,Strategy,Activision,2080000
876,Star Wars: Dark Forces,1994,Shooter,LucasArts,1950000
880,Who wants to be a millionaire,1999,Misc,Disney Interactive Studios,1940000
900,The Sims: Makin' Magic,2003,Simulation,Electronic Arts,1920000
947,World of Warcraft: Mists of Pandaria,2012,Role-Playing,Activision,1830000
956,The Sims: Hot Date,2001,Simulation,Electronic Arts,1820000
1039,Call of Duty: Modern Warfare 3,2011,Shooter,Activision,1720000
1042,The Sims 3: Late Night Expansion Pack,2010,Simulation,Electronic Arts,1710000
1071,Sid Meier's Civilization V,2010,Strategy,Take-Two Interactive,1690000
1080,The Sims: Superstar,2003,Simulation,Electronic Arts,1680000
1094,StarCraft II: Heart of the Swarm,2013,Strategy,Activision,1670000
1161,Diablo,1996,Role-Playing,Activision,1590000
1207,Command & Conquer: Tiberian Sun,1999,Strategy,Westwood Studios,1550000
1214,Warcraft III: The Frozen Throne,2003,Strategy,Activision,1540000
1219,Call of Duty: Black Ops II,2012,Shooter,Activision,1530000
1246,Football Manager 2012,2011,Sports,Sega,1510000
1256,Final Fantasy XIV: A Realm Reborn,2010,Role-Playing,Square Enix,1500000
1322,Anno 2070,2011,Strategy,Ubisoft,1450000
1337,SimCity (2013),2013,Simulation,Electronic Arts,1440000
1388,Battlefield 4,2013,Shooter,Electronic Arts,1400000
1465,Command & Conquer: Red Alert 2,2000,Strategy,Electronic Arts,1340000
1488,World of Warcraft: Wrath of the Lich King,2008,Role-Playing,Activision,1320000
1554,The Sims 2: Nightlife,2005,Simulation,Electronic Arts,1270000
1573,Football Manager 2011,2010,Sports,Sega,1260000
1578,Championship Manager 03/04,2003,Sports,Eidos Interactive,1260000
1595,RollerCoaster Tycoon 2,2002,Strategy,Atari,1250000
